e-fraction-ops|Operaciones con fracciones|Matemáticas|1-4|operaciones con fracciones;sumar fracciones;multiplicar fracciones|Para sumar o restar fracciones usamos un denominador común y operamos los numeradores equivalentes. Para multiplicarlas, multiplicamos numeradores y denominadores. Para dividir por una fracción no nula, multiplicamos por su inversa.|Sumar exige partes del mismo tamaño; multiplicar sigue otra regla. No mezcles ambas operaciones.|1/3 + 1/6 = 2/6 + 1/6 = 3/6 = 1/2. En cambio, 1/3 × 1/6 = 1/18.|1/3 + 1/6 es…~1/2~2/9~1/18~A$1/2 × 3/4 es…~4/6~3/8~3/6~B$Dividir por 2/3 equivale a multiplicar por…~2/3~1/3~3/2~C|Identifica primero la operación y prepara las fracciones según su regla.|No se suman los denominadores al sumar fracciones.|El denominador común permite reunir cantidades expresadas en la misma unidad fraccionaria.
e-circuits|Circuitos en serie y paralelo|Tecnología y Digitalización|2-4|circuitos en serie y paralelo;serie y paralelo|En una conexión en serie ideal, los componentes están en un único recorrido y comparten corriente. En paralelo, las ramas están entre los mismos dos nodos y comparten diferencia de potencial. Esta explicación es conceptual: no se manipulan enchufes ni la red eléctrica.|En serie hay un camino; en paralelo, varias ramas conectadas entre dos puntos comunes.|Dos resistencias en serie llevan la misma corriente. En paralelo cada resistencia puede llevar una corriente distinta.|En serie, las resistencias comparten…~Siempre voltaje igual~Corriente~Masa~B$En paralelo comparten…~Diferencia de potencial~Resistencia obligatoriamente igual~Temperatura exacta~A$Las prácticas escolares deben hacerse…~Con enchufes domésticos~Sin supervisión~Con material seguro y supervisión docente~C|Dibuja los nodos y recorre los caminos de corriente.|En paralelo no tiene por qué circular la misma corriente por ramas de distinta resistencia.|La topología del circuito determina qué magnitudes se comparten; los valores dependen de sus componentes.
e-nutrition|Nutrición autótrofa y heterótrofa|Biología y Geología|1-4|nutricion autotrofa y heterotrofa;autotrofos y heterotrofos|Los organismos autótrofos producen materia orgánica a partir de fuentes inorgánicas de carbono usando energía luminosa o química. Los heterótrofos obtienen materia orgánica de otros organismos o sus productos. Nutrición no es lo mismo que introducir alimento en la boca.|Las plantas fotosintéticas fabrican materia orgánica; animales y hongos la obtienen de materia orgánica previa.|Un hongo no hace fotosíntesis: obtiene nutrientes orgánicos del medio. Una planta también respira aunque tenga nutrición autótrofa.|Un hongo es generalmente…~Heterótrofo~Autótrofo fotosintético~Un mineral~A$Autótrofo significa producir materia orgánica a partir de…~Solo oxígeno~Fuentes inorgánicas de carbono~Otros animales siempre~B$Las plantas fotosintéticas…~No respiran~No necesitan materia~También respiran~C|Distingue la fuente de carbono de la fuente de energía.|Autótrofo no significa vivir sin intercambiar materia con el medio.|La clasificación depende de cómo se obtiene carbono para construir materia orgánica.
e-reproduction|Reproducción sexual y asexual|Biología y Geología|1-4|reproduccion sexual y asexual;tipos de reproduccion|La reproducción asexual no implica fusión de gametos y suele producir descendencia genéticamente muy similar, salvo cambios como mutaciones. La sexual incluye unión de gametos y combina material genético. Ambas existen en grupos variados de seres vivos.|Distingue si hay fusión de células reproductoras, no solo si el organismo es grande o pequeño.|Una bacteria puede dividirse en dos. En muchas plantas con flores, gametos participan en la formación de un nuevo individuo.|La reproducción sexual incluye…~Solo crecimiento~Fusión de gametos~Solo cambio de tamaño~B$La asexual puede producir descendencia…~Genéticamente muy similar~Sin células siempre~Sin material genético~A$¿Solo los animales tienen reproducción sexual?~Sí~Solo los grandes~No~C|Busca el mecanismo de reproducción, no el aspecto del ser vivo.|Reproducirse y crecer no son la misma función.|El crecimiento cambia un organismo; la reproducción da lugar a nuevos organismos o descendencia.
e-biodiversity|La biodiversidad|Biología y Geología|1-4|biodiversidad;diversidad biologica|La biodiversidad comprende diversidad genética, de especies y de ecosistemas. No se reduce a contar animales llamativos. Su conservación considera relaciones ecológicas, hábitats y variación dentro de las especies.|Hay diversidad entre especies, dentro de una misma especie y entre ambientes.|Un bosque con distintas plantas, hongos y animales incluye diversidad de especies; la variación entre individuos añade diversidad genética.|La biodiversidad incluye…~Genes, especies y ecosistemas~Solo animales grandes~Solo plantas verdes~A$La variación dentro de una especie es diversidad…~Astronómica~Genética~Ortográfica~B$Conservar biodiversidad implica considerar…~Solo el color~Solo una mascota~Hábitats y relaciones~C|Piensa en distintos niveles de diversidad.|Contar especies no describe por sí solo toda la biodiversidad.|Los niveles de diversidad se relacionan y afectan al funcionamiento y respuesta de los ecosistemas.
e-evolution|La evolución biológica|Biología y Geología|4-4|evolucion biologica;evolucion|La evolución es el cambio de características hereditarias de las poblaciones a lo largo de generaciones. Intervienen mecanismos como selección natural, mutación y deriva genética. No es una transformación voluntaria de un individuo porque la necesite.|Cambian las poblaciones con las generaciones; un individuo no decide modificar sus genes para adaptarse.|Si una variante heredable favorece dejar descendencia en un ambiente, puede aumentar su frecuencia con el tiempo.|La evolución se estudia como cambio en…~Una roca por erosión~Un individuo por deseo~Poblaciones a lo largo de generaciones~C$Las variaciones heredables pueden surgir por…~Mutaciones~Necesidad consciente siempre~Estudio escolar~A$La selección depende de…~Una meta universal de perfección~El ambiente y el éxito reproductivo relativo~La voluntad del organismo~B|Distingue herencia, supervivencia y reproducción.|Evolucionar no significa avanzar hacia una perfección predeterminada.|Los mecanismos modifican frecuencias de variantes sin necesitar una finalidad consciente.
e-greece|La polis griega|Geografía e Historia|1-4|polis griega;grecia antigua;la polis|En la antigua Grecia, una polis era una comunidad política con ciudad y territorio circundante. Las polis no formaban un único Estado moderno. Atenas y Esparta tuvieron instituciones diferentes; la participación política excluía a amplios grupos de población.|Cada polis organizaba su vida política; no todas seguían las mismas reglas.|La democracia ateniense permitía participación a ciudadanos varones, pero no incluía a mujeres, personas esclavizadas ni a todos los residentes.|Una polis incluía…~Ciudad y territorio~Solo un templo~Toda Europa~A$Atenas y Esparta tenían instituciones…~Idénticas siempre~Diferentes~Inexistentes~B$La ciudadanía ateniense daba participación a…~Todos los habitantes sin excepción~Solo visitantes~Un grupo restringido de la población~C|Distingue el ideal de participación de quién podía ejercerlo.|La democracia antigua no tenía la misma extensión de derechos que una democracia actual.|Comprender una institución histórica exige situarla en sus reglas y exclusiones concretas.
e-rome|República e Imperio romanos|Geografía e Historia|1-4|roma antigua;republica e imperio romanos;imperio romano|Roma pasó por monarquía, república e imperio, con transformaciones graduales y conflictos. En la república hubo magistraturas, Senado y asambleas. Bajo el principado de Augusto se concentró poder en el emperador, aunque persistieron instituciones republicanas.|Cambiar de etapa no significa que desaparecieran de golpe todas las instituciones anteriores.|El año 27 a. C. se usa como referencia convencional del inicio del principado de Augusto.|Augusto se relaciona con el inicio del…~Feudalismo~Principado~Renacimiento~B$En la república existía…~El Senado~Un parlamento europeo~La ONU~A$Los cambios históricos fueron…~Siempre instantáneos~Sin conflictos~Procesos con continuidades y transformaciones~C|Busca quién concentraba poder y qué instituciones seguían existiendo.|Los nombres de etapas simplifican procesos que no ocurrieron de un día para otro.|Las periodizaciones ayudan a estudiar, pero deben acompañarse de las continuidades que mantienen sentido entre etapas.
e-renaissance|Humanismo y Renacimiento|Geografía e Historia|2-4|humanismo y renacimiento;renacimiento;humanismo|El humanismo fue un movimiento cultural que impulsó el estudio de textos clásicos y de capacidades humanas. El Renacimiento renovó artes y pensamiento en contextos europeos diversos. No significó que desapareciera la religión ni que toda la sociedad cambiara igual.|Se recuperaron y reinterpretaron ideas clásicas, no se copió simplemente el pasado.|La imprenta de tipos móviles favoreció en Europa la circulación de textos, mientras los artistas exploraban proporción y perspectiva.|El humanismo valoró el estudio de…~Textos clásicos~Solo máquinas de vapor~Solo noticias digitales~A$La imprenta favoreció…~El fin de toda lectura~La difusión de textos~La desaparición de idiomas~B$El Renacimiento implicó…~La desaparición de toda religión~Cambios idénticos en todas partes~Transformaciones diversas y continuidades~C|Relaciona cultura, técnicas de difusión y contexto histórico.|No debe interpretarse como un corte absoluto con todo lo medieval.|Los movimientos culturales combinan recuperación, innovación y condiciones sociales que varían según el lugar.
e-text-types|Tipos de textos|Lengua Castellana y Literatura|1-4|tipos de textos;texto narrativo descriptivo expositivo argumentativo|Los textos pueden narrar acontecimientos, describir rasgos, explicar información o argumentar una postura. Un mismo texto puede combinar secuencias diferentes. Para clasificarlo conviene mirar su finalidad dominante, no una única palabra.|Pregunta qué pretende principalmente: contar, describir, explicar o convencer con razones.|Un artículo puede explicar un fenómeno y después argumentar qué medida conviene adoptar.|Defender una postura con razones corresponde a…~Descripción~Argumentación~Enumeración siempre~B$Contar acontecimientos es…~Narrar~Solo definir~Siempre demostrar matemáticamente~A$Un texto puede…~Tener solo una secuencia siempre~No tener ninguna finalidad posible~Combinar tipos de secuencias~C|Identifica la finalidad principal y comprueba el conjunto.|La presencia de un adjetivo no convierte automáticamente un texto en descriptivo.|Las categorías son herramientas de análisis; los textos reales pueden integrar varias funciones.
e-diacritic|La tilde diacrítica|Lengua Castellana y Literatura|1-4|tilde diacritica;tu y tu;el y el|La tilde diacrítica distingue ciertas palabras que se escriben igual pero tienen usos distintos. Tú es pronombre y tu determinante posesivo; él es pronombre y el artículo. Qué lleva tilde en usos interrogativos o exclamativos, también en preguntas indirectas.|Elige la tilde por la función de la palabra, no solo por su sonido.|«Tú traes tu libro»: el primer tú nombra al interlocutor; el segundo tu indica posesión.|En «Tú traes tu libro», la primera palabra es…~Un pronombre~Un artículo~Una preposición~A$¿Cuál está bien escrita?~El llegó tarde, referido al pronombre~Él llegó tarde~Él libro es nuevo~B$«No sé qué quieres» lleva tilde en qué por su uso…~Siempre relativo~De artículo~Interrogativo indirecto~C|Determina primero qué función tiene la palabra.|No toda palabra monosílaba lleva tilde ni toda pregunta necesita signos para contener interrogación indirecta.|La tilde distingue usos gramaticales concretos; aprenderlos evita aplicar reglas de manera mecánica.
e-past|Past simple|Lengua Extranjera: Inglés|1-4|past simple;pasado simple en ingles|El past simple sitúa situaciones en un tiempo pasado terminado. Muchos verbos añaden -ed, pero hay irregulares. En preguntas y negativas con did, el verbo principal vuelve a su forma base. El verbo be tiene construcciones propias.|Recuerda: did ya marca el pasado, así que no lo marques otra vez en el verbo principal.|She visited London yesterday. Did she visit London? She did not visit Paris.|¿Qué pregunta es correcta?~Did she visited?~Did she visit?~Does she visited?~B$El pasado de go es…~Went~Goed~Goes~A$Tras did not usamos habitualmente…~Pasado irregular~Un verbo en -ing siempre~La forma base del verbo~C|Comprueba si el auxiliar did ya está marcando el pasado.|No todos los verbos forman pasado añadiendo -ed.|El auxiliar permite construir preguntas y negaciones sin duplicar la marca verbal de pasado.
e-continuous|Present continuous|Lengua Extranjera: Inglés|1-4|present continuous;presente continuo en ingles|El present continuous se construye con am, is o are y la forma en -ing del verbo. Puede expresar acciones en desarrollo o situaciones temporales. No todos los verbos se usan habitualmente en continuo; el contexto determina el tiempo adecuado.|Necesitas dos partes: una forma de be y un verbo terminado en -ing.|They are reading now indica que están leyendo ahora. She is studying this week presenta una situación temporal.|Completa: She ___ reading now.~Is~Are~Am~A$La estructura es…~Did más pasado~Be más verbo en -ing~Have más infinitivo siempre~B$They are reading puede describir…~Un número primo~Solo una costumbre eterna~Una acción en desarrollo~C|No olvides conjugar be según el sujeto.|Añadir -ing sin el auxiliar no forma por sí solo el tiempo completo.|La construcción reúne información de persona y número con el aspecto progresivo de la acción.
e-networks|Internet y la web|Tecnología y Digitalización|1-4|internet y la web;internet;la web|Internet es una red de redes que permite comunicar sistemas. La web es uno de sus servicios y utiliza recursos enlazados que se consultan con navegadores. Correo electrónico y otros servicios también utilizan Internet. Un buscador no es lo mismo que un navegador.|Internet es la infraestructura de comunicación; la web es un servicio que funciona sobre ella.|Un navegador abre páginas web. Un buscador ayuda a localizar páginas, pero no es toda la web ni todo Internet.|La web es…~Todo dispositivo eléctrico~Un servicio de Internet~Un cable único~B$Un navegador sirve para…~Acceder a recursos web~Crear oxígeno~Sustituir toda conexión~A$¿Buscador y navegador son lo mismo?~Siempre~Solo en móvil~No~C|Distingue infraestructura, servicio y aplicación.|Tener una página abierta no demuestra que toda su información sea fiable.|Comprender las capas de un sistema permite identificar qué función realiza cada herramienta.
