p-multiples|Múltiplos y divisores|Matemáticas|4-6|multiplos y divisores;multiplos;divisores|Un múltiplo de un número natural se obtiene multiplicándolo por otro natural. Un divisor positivo divide a otro número exactamente, sin resto. Son dos formas de mirar una misma multiplicación.|Si 3 por 4 da 12, entonces 12 es múltiplo de 3, y 3 es divisor de 12.|Los números 6, 12 y 18 son múltiplos de 6. El 4 es divisor de 20 porque 20 ÷ 4 = 5.|¿Cuál es múltiplo de 6?~18~14~17~A$¿Cuál es divisor de 20?~3~4~6~B$Si 5 × 7 = 35, entonces…~35 divide a 5~7 es múltiplo de 35~5 divide exactamente a 35~C|Comprueba la relación con una multiplicación.|Múltiplo y divisor no se intercambian sin cambiar qué número tomas como referencia.|La divisibilidad conecta un producto con las divisiones exactas que lo deshacen.
p-dictionary|Usar el diccionario|Lengua Castellana y Literatura|3-6|diccionario;usar el diccionario|Un diccionario organiza palabras y explica significados y usos. Las entradas pueden tener varias acepciones. En un diccionario alfabético comparamos letras en orden; si coinciden, pasamos a la siguiente. Elegimos la acepción que encaja con el texto.|Busca la palabra y luego el significado que tenga sentido en tu frase.|Banco puede ser un asiento o una entidad financiera. En «se sentó en el banco», corresponde el significado de asiento.|En «se sentó en el banco», banco es…~Un asiento~Un pez~Una nube~A$Al ordenar alfabéticamente, si la primera letra coincide miramos…~La última siempre~La siguiente~El número de sílabas~B$Una palabra puede tener…~Solo un significado~Ninguna acepción~Varias acepciones~C|Lee la frase antes de escoger una definición.|No siempre sirve la primera acepción que aparece.|Comprender una palabra exige relacionar la definición con la situación en la que se usa.
p-pronouns|Pronombres personales|Lengua Castellana y Literatura|3-6|pronombres;pronombres personales|Los pronombres personales remiten a participantes del discurso sin nombrarlos de nuevo. Yo alude a quien habla; tú, a quien escucha; él, ella, nosotros y otros permiten identificar personas según el contexto.|En vez de repetir un nombre, a veces usamos una palabra que remite a esa persona.|«Lucía lee. Ella disfruta del cuento». Ella se refiere aquí a Lucía.|En ese ejemplo, ella se refiere a…~El cuento~Lucía~La lectura siempre~B$Yo se refiere a…~Quien habla~Quien escucha siempre~Cualquier objeto~A$Nosotros puede incluir…~Solo una persona siempre~Ninguna persona~A quien habla y a otras personas~C|Busca a quién se refiere el pronombre en esa situación.|Un pronombre no identifica siempre a la misma persona en todas las conversaciones.|La referencia depende de quién habla y del contexto compartido.
p-punctuation|Signos de puntuación|Lengua Castellana y Literatura|2-6|puntuacion;signos de puntuacion;puntos y comas|Los signos de puntuación organizan el texto y ayudan a interpretar su sentido. El punto cierra un enunciado; la coma puede separar elementos de una enumeración. En español las preguntas y exclamaciones directas llevan signos de apertura y cierre.|Los signos ayudan a saber cómo se relacionan las palabras y dónde termina una idea.|«Traje pan, leche y fruta». Las comas separan elementos. «¿Vienes?» lleva signos de pregunta al principio y al final.|¿Qué signo cierra habitualmente un enunciado declarativo?~Punto~Comilla sola~Guion siempre~A$En español una pregunta directa usa…~Solo ? al final~¿ y ?~Solo una coma~B$La puntuación puede cambiar…~Solo el color~Solo el papel~El sentido de un mensaje~C|Piensa cómo se agrupan las ideas, no solo dónde respiras.|No debe ponerse una coma automáticamente entre sujeto y verbo.|La puntuación expresa relaciones sintácticas y de sentido, por lo que no equivale a marcar cualquier pausa de la voz.
p-narrative|Partes de una narración|Lengua Castellana y Literatura|3-6|narracion;partes de un cuento;inicio nudo y desenlace|Muchas narraciones se organizan en inicio, nudo y desenlace. El inicio presenta la situación; el nudo desarrolla un conflicto o cambio; el desenlace muestra cómo termina. No todas las historias siguen un orden lineal.|Busca cómo empieza, qué problema aparece y cómo termina la historia.|Un personaje pierde una llave, la busca y finalmente la encuentra: la búsqueda desarrolla el problema.|El nudo suele desarrollar…~Solo el título~El conflicto~Solo la firma~B$El inicio puede presentar…~Personajes y situación~Solo la solución final~El índice siempre~A$¿Todas las narraciones siguen el mismo orden?~Sí, sin excepción~No existen narraciones~No~C|Pregunta qué función cumple cada parte en el conjunto.|Las partes de una historia no tienen que ocupar la misma longitud.|La estructura ayuda a relacionar acontecimientos, pero los autores pueden alterar el orden para producir distintos efectos.
p-digestion|La digestión|Conocimiento del Medio|4-6|digestion;aparato digestivo|La digestión transforma los alimentos para obtener sustancias que el organismo puede absorber. Participan cambios mecánicos, como masticar, y químicos. La mayor parte de la absorción de nutrientes ocurre en el intestino delgado.|Comer no basta: el cuerpo transforma los alimentos y absorbe sus nutrientes.|La boca tritura y mezcla el alimento; después continúa el recorrido digestivo. El intestino delgado absorbe muchos nutrientes.|¿Dónde se absorbe la mayoría de nutrientes?~Intestino delgado~Esófago~Boca exclusivamente~A$Masticar es un cambio principalmente…~Astronómico~Mecánico~Eléctrico~B$La digestión comienza…~Solo en el estómago~En los pulmones~En la boca~C|Sigue el recorrido y distingue transformar de absorber.|El estómago no realiza por sí solo toda la digestión.|Varios órganos cooperan: preparar moléculas para absorberlas no es lo mismo que incorporarlas al medio interno.
p-respiration|La respiración humana|Conocimiento del Medio|4-6|respiracion humana;aparato respiratorio;pulmones|Al ventilar, el aire entra y sale de los pulmones. En los alvéolos se intercambian gases con la sangre: entra oxígeno en ella y sale dióxido de carbono. La respiración celular utiliza oxígeno en procesos que liberan energía de nutrientes.|Los pulmones intercambian gases, y la sangre lleva oxígeno a las células.|El aire inspirado llega a los alvéolos. Su gran superficie facilita el intercambio con vasos sanguíneos muy pequeños.|El intercambio de gases ocurre principalmente en…~El esófago~Los alvéolos~Los huesos~B$La sangre lleva oxígeno hacia…~Las células~Las uñas únicamente~El exterior siempre~A$Respirar implica…~Crear aire de la nada~Solo tragar~Procesos distintos de ventilación e intercambio~C|Distingue mover aire de intercambiar gases.|Los pulmones no producen el oxígeno que respiramos.|La ventilación renueva el aire y el intercambio permite que los gases pasen entre aire y sangre.
p-circulation|La circulación sanguínea|Conocimiento del Medio|4-6|circulacion;aparato circulatorio;corazon|El corazón impulsa sangre a través de vasos. Las arterias llevan sangre desde el corazón y las venas la devuelven hacia él. Los capilares permiten intercambiar sustancias con los tejidos. Arteria no significa siempre sangre rica en oxígeno.|El corazón bombea y los vasos forman el recorrido de la sangre.|En la circulación pulmonar, una arteria lleva sangre del corazón a los pulmones, donde se realiza el intercambio de gases.|Las arterias llevan sangre…~Desde el corazón~Siempre hacia el corazón~Fuera del cuerpo siempre~A$Las venas la llevan…~Solo al cerebro~Hacia el corazón~Solo a los huesos~B$El intercambio con tejidos ocurre sobre todo en…~Los dientes~El pelo~Los capilares~C|Clasifica los vasos por el sentido del recorrido respecto al corazón.|No todas las arterias llevan sangre con mucho oxígeno.|La dirección del flujo define arterias y venas; la cantidad de oxígeno depende del circuito.
p-bones|Huesos y músculos|Conocimiento del Medio|3-6|huesos y musculos;aparato locomotor|El aparato locomotor incluye huesos, articulaciones y músculos. Los huesos sostienen y protegen; las articulaciones unen huesos y muchas permiten movimiento. Los músculos se contraen y, mediante tendones, pueden mover huesos.|Los huesos dan soporte y los músculos tiran de ellos para moverlos.|Al doblar el brazo participan músculos y la articulación del codo. Los músculos no empujan los huesos: ejercen tracción al contraerse.|¿Qué une un músculo a un hueso?~Una vena~Un nervio solamente~Un tendón~C$Una función de los huesos es…~Proteger órganos~Digerir alimentos~Producir luz~A$Muchas articulaciones permiten…~Fotosíntesis~Movimiento~Evaporación~B|Relaciona cada estructura con su función.|Los músculos no se limitan a los que movemos voluntariamente.|El movimiento coordinado requiere estructuras que transmitan fuerzas y permitan desplazamientos relativos.
p-vertebrates|Vertebrados e invertebrados|Conocimiento del Medio|3-6|vertebrados e invertebrados;vertebrados;invertebrados|Los vertebrados tienen columna vertebral. Los animales que no tienen columna vertebral se agrupan habitualmente como invertebrados, aunque pertenecen a grupos muy diferentes. Un animal puede tener una cubierta dura externa sin ser vertebrado.|La clave no es el tamaño ni vivir en el agua: busca si tiene columna vertebral.|Un pez es vertebrado; una mariposa y un caracol son invertebrados. La concha de un caracol no es una columna.|¿Cuál es vertebrado?~Un pez~Una mariposa~Un caracol~A$Los invertebrados carecen de…~Vida~Columna vertebral~Células~B$Una concha dura demuestra que…~Tiene columna~Es mamífero~No basta para clasificarlo como vertebrado~C|No confundas una protección externa con un esqueleto vertebrado.|No todos los animales acuáticos son peces ni vertebrados.|Clasificar exige usar un rasgo pertinente, no una semejanza superficial.
p-food-chain|Cadenas alimentarias|Conocimiento del Medio|4-6|cadena alimentaria;cadenas alimentarias;productores y consumidores|Una cadena alimentaria representa relaciones de alimentación. Los productores elaboran materia orgánica a partir de materia inorgánica con una fuente de energía. Los consumidores se alimentan de otros organismos. Los descomponedores participan en el reciclado de la materia.|Sigue quién sirve de alimento a quién; en la realidad las cadenas se conectan formando redes.|Hierba, saltamontes y rana pueden formar una cadena. La flecha suele ir del alimento al organismo que lo consume.|La hierba actúa como…~Consumidor~Productor~Depredador de ranas~B$Muchas cadenas conectadas forman…~Una red alimentaria~Una sola célula~Un planeta~A$Los descomponedores ayudan a…~Crear energía de la nada~Detener todo intercambio~Reciclar materia~C|Comprueba qué significa la flecha en el esquema.|La materia se recicla, pero la energía no circula indefinidamente sin pérdidas útiles.|Las relaciones alimentarias transfieren materia y energía; una red representa mejor la variedad de relaciones reales.
p-solar|El sistema solar|Conocimiento del Medio|3-6|sistema solar;planetas|El sistema solar incluye el Sol y los cuerpos ligados a él por la gravedad, como ocho planetas, satélites, asteroides y cometas. El Sol es una estrella. Los planetas no producen luz visible propia como una estrella: reflejan luz del Sol.|El Sol está acompañado por planetas que orbitan a su alrededor. La Tierra es uno de ellos.|La Tierra orbita el Sol y la Luna orbita la Tierra. La Luna es un satélite natural.|El Sol es…~Un planeta~Un satélite~Una estrella~C$La Tierra es…~Un planeta~Una estrella~Un cometa~A$La Luna es…~Una galaxia~Un satélite natural~Una estrella~B|Distingue estrella, planeta y satélite.|Las distancias y tamaños no se representan a escala en muchos dibujos escolares.|La gravedad organiza órbitas, pero los objetos del sistema tienen tamaños y propiedades muy diferentes.
p-day-year|Rotación y traslación|Conocimiento del Medio|4-6|rotacion y traslacion;dia y noche|La Tierra gira sobre su eje: es la rotación, relacionada con el día y la noche. También orbita el Sol: es la traslación. Las estaciones se explican principalmente por la inclinación del eje terrestre durante esa órbita, no por estar simplemente más cerca del Sol.|Girar sobre sí misma y dar una vuelta alrededor del Sol son movimientos distintos.|Una zona mira hacia el Sol durante parte de la rotación y recibe luz; después queda orientada hacia el lado nocturno.|El día y la noche se relacionan con…~La rotación~La Luna solamente~Los eclipses diarios~A$La traslación es…~Girar una hoja~Orbitar el Sol~Cambiar de océano~B$Las estaciones dependen principalmente de…~El color del suelo~La distancia a la Luna~La inclinación del eje durante la órbita~C|Distingue girar sobre un eje y recorrer una órbita.|No es verano simultáneamente en los dos hemisferios.|La inclinación modifica el ángulo de llegada de la luz y las horas de iluminación de cada hemisferio.
p-relief|El relieve|Conocimiento del Medio|3-6|relieve;montanas valles y llanuras|El relieve es el conjunto de formas de la superficie terrestre. Una montaña es una elevación; un valle es una zona baja entre elevaciones; una llanura tiene escasas diferencias de altura. El relieve cambia con procesos internos y externos.|Observa las formas del terreno: zonas altas, bajas y relativamente planas.|Un río puede recorrer un valle. El agua y el viento pueden erosionar y transportar materiales con el tiempo.|Una zona baja entre elevaciones es…~Una montaña~Un valle~Una estrella~B$Una llanura tiene…~Escasas diferencias de altura~Siempre paredes verticales~Solo agua salada~A$¿El relieve puede cambiar?~Nunca~Solo en dibujos~Sí~C|Compara las formas y alturas del terreno.|Una llanura puede estar situada a bastante altitud.|Altitud y forma son propiedades distintas: un terreno puede ser relativamente plano y estar elevado.
p-history-time|Medir el tiempo histórico|Conocimiento del Medio|4-6|siglos y milenios;tiempo historico;linea del tiempo|Una década son 10 años, un siglo 100 y un milenio 1000. Una línea del tiempo organiza acontecimientos según sus fechas. En la numeración habitual, el siglo XXI abarca de 2001 a 2100.|Agrupa años: diez, cien y mil. Mira también desde qué año empieza el grupo.|1998 pertenece al siglo XX y 2020 al siglo XXI. El siglo I comprende los años 1 a 100.|Un siglo tiene…~100 años~10 años~1000 años~A$2020 pertenece al…~Siglo XX~Siglo XXI~Siglo XIX~B$Una línea del tiempo ordena…~Solo colores~Solo tamaños~Acontecimientos por fecha~C|No confundas las primeras cifras del año con el número del siglo.|El siglo XXI no empezó en 2000 en la numeración histórica habitual.|Los siglos se cuentan desde el primer grupo de cien años, por eso las fronteras requieren atención.
p-civic|Convivencia democrática|Conocimiento del Medio|4-6|democracia;convivencia democratica|La convivencia democrática combina participación, respeto a derechos y reglas comunes. Escuchar opiniones no obliga a compartirlas. Una mayoría no justifica vulnerar derechos; resolver desacuerdos requiere argumentos, diálogo y procedimientos justos.|Podemos decidir juntos y escuchar a quien piensa distinto, sin insultar ni quitarle sus derechos.|En clase se acuerda una actividad escuchando propuestas y aplicando reglas que permitan participar a todos.|Escuchar otra opinión significa…~Aceptar todo siempre~Dejar que se exprese con respeto~Renunciar a pensar~B$Una mayoría puede justificar cualquier daño…~No~Sí, siempre~Si grita más~A$Un desacuerdo se puede tratar con…~Insultos~Amenazas~Diálogo y reglas justas~C|Distingue decidir entre opciones y respetar derechos.|Democracia no equivale únicamente a que mande quien tiene más votos.|La participación necesita garantías que protejan también a quienes están en minoría.
p-there|There is y there are|Lengua Extranjera: Inglés|3-6|there is there are;there is y there are|There is y there are expresan existencia: hay. Usamos there is con singular o incontables y there are con plural. Para preguntar invertimos: Is there…? o Are there…?|Fíjate en si hay una cosa o varias antes de elegir is o are.|There is a book: hay un libro. There are two books: hay dos libros.|Completa: There ___ two cats.~Is~Am~Are~C$Completa: There ___ a chair.~Is~Are~Be~A$¿Qué pregunta está bien formada?~There are two books? siempre~Are there two books?~Do there are books?~B|Mira el número del nombre que viene después.|There no indica una persona que realice una acción en estas estructuras.|El verbo concuerda con la expresión de existencia, que cambia según singular o plural.
p-can|Can y cannot|Lengua Extranjera: Inglés|3-6|can y cannot;verbo can|Can puede expresar capacidad o permiso. Se usa con la forma base del verbo, sin to, y no añade s con he o she. Su negativa es cannot o can't. Para preguntar, can va antes del sujeto.|Recuerda: she can swim, no she cans swim ni she can to swim.|I can read significa puedo o sé leer según el contexto. Can you help? pide ayuda.|¿Qué oración es correcta?~She can swim~She cans swim~She can to swim~A$La negativa de can puede ser…~Does can~Cannot~Canning siempre~B$La pregunta correcta es…~You can help? siempre~Do you can help?~Can you help?~C|Después de can usa el verbo sin cambios.|No usamos do para construir esta pregunta con can.|Los verbos modales tienen reglas diferentes a las de los verbos ordinarios en presente.
p-prepositions|Preposiciones de lugar en inglés|Lengua Extranjera: Inglés|3-6|preposiciones de lugar;in on under|In, on y under ayudan a situar algo: in suele indicar dentro, on sobre una superficie y under debajo. El contexto importa, porque una preposición puede tener otros usos.|Imagina una pelota dentro de una caja, sobre la mesa o debajo de la silla.|The ball is under the table significa que la pelota está debajo de la mesa.|Under the table significa…~Dentro de la mesa~Debajo de la mesa~Sobre la mesa~B$In the box puede significar…~Dentro de la caja~Lejos de la caja~Encima de la nube~A$On the table indica habitualmente…~Bajo el suelo~Dentro del libro~Sobre la mesa~C|Relaciona la posición con el objeto de referencia.|No traduzcas siempre una preposición aislada de la frase.|Las relaciones espaciales se expresan tomando otro objeto como referencia.
p-music-quality|Cualidades del sonido|Educación Artística|3-6|cualidades del sonido;altura intensidad duracion y timbre|La altura distingue sonidos graves y agudos. La intensidad permite hablar de mayor o menor fuerza sonora; la duración, de cuánto se prolonga; el timbre ayuda a distinguir fuentes sonoras. No es lo mismo agudo que fuerte.|Un sonido puede ser agudo y suave a la vez. Son dos cualidades diferentes.|Una flauta y un violín pueden tocar la misma nota con timbres distintos.|Grave y agudo describen…~Altura~Duración~Color del papel~A$Largo y corto describen…~Timbre~Duración~Altura siempre~B$Distinguir una flauta de un violín por su sonido se relaciona con…~El tamaño de la hoja~El silencio absoluto~El timbre~C|Identifica qué propiedad cambia en cada comparación.|Agudo no significa necesariamente más intenso.|Las cualidades describen aspectos diferentes de una misma señal sonora.
p-warmup|Prepararse para moverse|Educación Física|3-6|calentamiento;prepararse para el ejercicio|Antes de una actividad física conviene empezar de forma progresiva y seguir las indicaciones del docente. El calentamiento incluye movimientos suaves relacionados con la tarea. Si aparece dolor, mareo o malestar, se detiene la actividad y se avisa a un adulto.|Empieza poco a poco, en un espacio seguro y acompañado según la actividad.|Antes de un juego de desplazamientos, el grupo camina y cambia suavemente de dirección siguiendo al profesor.|Al empezar conviene…~Ir al máximo inmediatamente~Progresar poco a poco~Ignorar al docente~B$Si sientes dolor o mareo, debes…~Parar y avisar~Continuar para ganar~Ocultarlo~A$El espacio de práctica debe ser…~Siempre pequeño~Lleno de obstáculos peligrosos~Seguro y adecuado~C|Prioriza seguridad y progresión, no competir con otros.|El dolor no demuestra que una actividad esté funcionando bien.|Prepararse de manera progresiva permite ajustar la actividad a la persona y detectar dificultades a tiempo.
p-cooperation|Juegos cooperativos|Educación Física|2-6|juegos cooperativos;cooperar en el juego|En un juego cooperativo las personas colaboran hacia una meta compartida. Se acuerdan reglas seguras, se reparten tareas y se adaptan para facilitar que todos participen. Cooperar no significa que todos deban hacer exactamente lo mismo.|El objetivo se consigue ayudándose, no dejando fuera a quien necesita otra manera de participar.|Un grupo transporta una pelota sobre una tela, coordinando movimientos y ajustando la tarea con el docente.|Una meta cooperativa es…~Compartida~Excluir al más lento~Hacer daño al rival~A$Adaptar una tarea puede ayudar a…~Impedir siempre jugar~Facilitar la participación~Eliminar toda regla~B$Cooperar incluye…~No escuchar~Competir siempre entre compañeros~Coordinarse y ayudarse~C|Pregunta qué necesita el grupo para lograr la meta con seguridad.|Participar de forma justa no exige que todos tengan las mismas capacidades.|La cooperación distribuye recursos y tareas para alcanzar un objetivo que requiere coordinación.
